"MenuId","MIName","SaleID","itemSaleID","daySold"
5,"Adalimumab","b82c8c5f-b823-42ce-8e9b-1245c3005cd5",179,13/09/2020 05:50:33
3,"Insulin","b82c8c5f-b823-42ce-8e9b-1245c3005cd5",181,13/09/2020 05:50:33
3,"Insulin","b82c8c5f-b823-42ce-8e9b-1245c3005cd5",183,13/09/2020 05:50:33
3,"Insulin","b82c8c5f-b823-42ce-8e9b-1245c3005cd5",185,13/09/2020 05:50:33
3,"Insulin","b82c8c5f-b823-42ce-8e9b-1245c3005cd5",187,13/09/2020 05:50:33
3,"Insulin","0a7ddc40-e41f-4fbb-9d9c-ff30d88a7604",184,13/09/2020 06:12:54
3,"Insulin","21f4a869-2743-41f5-a799-d123c02e93eb",185,13/09/2020 06:14:37
3,"Insulin","59481ff2-4736-4afc-8230-206af566d3f4",186,13/09/2020 06:15:36
3,"Insulin","59481ff2-4736-4afc-8230-206af566d3f4",188,13/09/2020 06:15:36
3,"Insulin","59481ff2-4736-4afc-8230-206af566d3f4",190,13/09/2020 06:15:36
3,"Insulin","872e57c8-da1a-4e00-90f5-60843791010c",189,13/09/2020 06:16:53
3,"Insulin","872e57c8-da1a-4e00-90f5-60843791010c",191,13/09/2020 06:16:53
3,"Insulin","4f980393-0ef4-4b5d-bc59-a9769e3ab983",191,13/09/2020 06:17:33
3,"Insulin","4f980393-0ef4-4b5d-bc59-a9769e3ab983",193,13/09/2020 06:17:33
3,"Insulin","4f980393-0ef4-4b5d-bc59-a9769e3ab983",195,13/09/2020 06:17:33
3,"Insulin","4f980393-0ef4-4b5d-bc59-a9769e3ab983",197,13/09/2020 06:17:33
5,"Adalimumab","f5020eb1-0796-4400-8187-1d3dd61f7979",195,13/09/2020 06:18:05
5,"Adalimumab","f5020eb1-0796-4400-8187-1d3dd61f7979",197,13/09/2020 06:18:05
5,"Adalimumab","f5020eb1-0796-4400-8187-1d3dd61f7979",199,13/09/2020 06:18:05
5,"Adalimumab","c14a5a43-0afc-4f1e-b532-24267ed75e0c",198,13/09/2020 06:25:43
5,"Adalimumab","c14a5a43-0afc-4f1e-b532-24267ed75e0c",200,13/09/2020 06:25:43
5,"Adalimumab","c14a5a43-0afc-4f1e-b532-24267ed75e0c",202,13/09/2020 06:25:43
5,"Adalimumab","c14a5a43-0afc-4f1e-b532-24267ed75e0c",204,13/09/2020 06:25:43
6,"Diabetes Gummies","c14a5a43-0afc-4f1e-b532-24267ed75e0c",206,13/09/2020 06:25:43
4,"Skin Cream","373cf091-f405-4628-b6bd-6c74266457c1",203,13/09/2020 06:34:07
4,"Skin Cream","373cf091-f405-4628-b6bd-6c74266457c1",205,13/09/2020 06:34:07
4,"Skin Cream","373cf091-f405-4628-b6bd-6c74266457c1",207,13/09/2020 06:34:07
6,"Diabetes Gummies","373cf091-f405-4628-b6bd-6c74266457c1",209,13/09/2020 06:34:07
3,"Insulin","6a1d5f02-6acd-4c3f-9723-84d99b322501",94,21/09/2020 15:30:37
3,"Insulin","6a1d5f02-6acd-4c3f-9723-84d99b322501",96,21/09/2020 15:30:37
3,"Insulin","6a1d5f02-6acd-4c3f-9723-84d99b322501",98,21/09/2020 15:30:37
6,"Diabetes Gummies","6a1d5f02-6acd-4c3f-9723-84d99b322501",100,21/09/2020 15:30:37
6,"Diabetes Gummies","6a1d5f02-6acd-4c3f-9723-84d99b322501",102,21/09/2020 15:30:37
6,"Diabetes Gummies","6a1d5f02-6acd-4c3f-9723-84d99b322501",104,21/09/2020 15:30:37
6,"Diabetes Gummies","6a1d5f02-6acd-4c3f-9723-84d99b322501",106,21/09/2020 15:30:37
6,"Diabetes Gummies","6a1d5f02-6acd-4c3f-9723-84d99b322501",108,21/09/2020 15:30:37
2,"Cough Medicine","6a1d5f02-6acd-4c3f-9723-84d99b322501",110,21/09/2020 15:30:37
2,"Cough Medicine","6a1d5f02-6acd-4c3f-9723-84d99b322501",112,21/09/2020 15:30:37
2,"Cough Medicine","6a1d5f02-6acd-4c3f-9723-84d99b322501",114,21/09/2020 15:30:37
3,"Insulin","3da2bc29-7f6c-4201-8478-9138fa4252ff",105,21/09/2020 15:44:26
3,"Insulin","3da2bc29-7f6c-4201-8478-9138fa4252ff",107,21/09/2020 15:44:26
3,"Insulin","3da2bc29-7f6c-4201-8478-9138fa4252ff",109,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",111,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",113,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",115,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",117,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",119,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",121,21/09/2020 15:44:26
1,"Paracetamol","3da2bc29-7f6c-4201-8478-9138fa4252ff",123,21/09/2020 15:44:26
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",115,21/09/2020 16:01:27
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",117,21/09/2020 16:01:27
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",119,21/09/2020 16:01:27
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",121,21/09/2020 16:01:27
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",123,21/09/2020 16:01:27
3,"Insulin","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",125,21/09/2020 16:01:27
5,"Adalimumab","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",127,21/09/2020 16:01:27
5,"Adalimumab","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",129,21/09/2020 16:01:27
2,"Cough Medicine","b5fc0278-f1b2-4f78-8dd6-61d3fe9f714e",131,21/09/2020 16:01:27
